# TABLA DE CARGA DE CONTINGENCIA — NO ES CFD
# Fuente: XFLR5 v6.61, metodo de paneles 3D, flujo potencial (inviscid)
# Geometria: doble cuna, Nalci & Kayran (2014), escala real x lambda=1.0
# Eje de bisagra: 50% cuerda de raiz
# Condicion de vuelo: nivel del mar, T=15C, rho=1.225 kg/m3
# LIMITACIONES:
#   - Sin viscosidad ni compresibilidad (Cm identico entre Mach, verificado)
#   - Solo 2 dimensiones: Mach y angulo TOTAL (no AoA/deflexion por separado)
#   - NO incluye velocidad angular de deflexion (XFLR5 es estatico/cuasi-estacionario)
#   - Factor de escala lambda=1.0 -- ver PENDIENTE en Geometria_Aleta_Referencia.md §5
#   - No cumple RNF-PRE-01 (no hay error de interpolacion respecto a CFD, no hay CFD de referencia)
#   - USO PREVISTO: prueba del pipeline de software (interpolacion, control), no caracterizacion real
# Ver: 04_CFD/02_Valores_Referencia_XFLR5.md, 04_CFD/01_Casos/01_Geometria_Aleta_Referencia.md
mach,angulo_deg,torque_bisagra_Nm,torque_bisagra_Nm_referencia_sin_escalar,lambda_escala_aplicado
0.6,-0.25,-0.0760264768526427,-0.0760264768526427,1.0
0.6,0.0,0.0,0.0,1.0
0.6,0.25,0.0760264768526427,0.0760264768526427,1.0
0.6,0.5,0.1519971749254964,0.1519971749254964,1.0
0.6,0.75,0.2280236517781391,0.2280236517781391,1.0
0.6,1.0,0.3039943498509928,0.3039943498509928,1.0
0.6,1.25,0.3799092691440572,0.3799092691440572,1.0
0.6,1.5,0.4558241884371217,0.4558241884371217,1.0
0.6,1.75,0.531683328950397,0.531683328950397,1.0
0.6,2.0,0.6075424694636722,0.6075424694636722,1.0
0.6,2.25,0.6833458311971582,0.6833458311971582,1.0
0.6,2.5,0.759037635371066,0.759037635371066,1.0
0.6,2.75,0.8347294395449737,0.8347294395449737,1.0
0.6,3.0,0.9103096861593032,0.9103096861593032,1.0
0.6,3.25,0.9858341539938434,0.9858341539938434,1.0
0.6,3.5,1.0613028430485942,1.0613028430485942,1.0
0.6,3.75,1.136659974543767,1.136659974543767,1.0
0.6,4.0,1.211961327259151,1.211961327259151,1.0
0.6,4.25,1.287151122414956,1.287151122414956,1.0
0.6,4.5,1.3622293600111828,1.3622293600111828,1.0
0.6,4.75,1.4371960400478314,1.4371960400478314,1.0
0.6,5.0,1.5121069413046906,1.5121069413046906,1.0
0.6,5.25,1.5868505062221825,1.5868505062221825,1.0
0.6,5.5,1.661482513580096,1.661482513580096,1.0
0.6,5.75,1.7359471845986418,1.7359471845986418,1.0
0.6,6.0,1.810300298057609,1.810300298057609,1.0
0.6,6.25,1.8845418539569987,1.8845418539569987,1.0
0.6,6.5,1.9586160735170208,1.9586160735170208,1.0
0.6,6.75,2.032578735517464,2.032578735517464,1.0
0.6,7.0,2.10631828239875,2.10631828239875,1.0
0.6,7.25,2.1799462717204587,2.1799462717204587,1.0
0.6,7.5,2.253351145923011,2.253351145923011,1.0
0.6,7.75,2.326644462565984,2.326644462565984,1.0
0.6,8.0,2.3997146640898004,2.3997146640898004,1.0
0.6,8.25,2.47261752927425,2.47261752927425,1.0
0.6,8.5,2.545297279339542,2.545297279339542,1.0
0.6,8.75,2.617809693065466,2.617809693065466,1.0
0.6,9.0,2.690154770452024,2.690154770452024,1.0
0.6,9.25,2.7622767327194246,2.7622767327194246,1.0
0.6,9.5,2.8341198010878794,2.8341198010878794,1.0
0.6,9.75,2.905795533116967,2.905795533116967,1.0
0.6,10.0,2.977248150026897,2.977248150026897,1.0
0.6,10.25,3.0484776518176715,3.0484776518176715,1.0
0.6,10.5,3.119484038489289,3.119484038489289,1.0
0.6,10.75,3.1902115312619603,3.1902115312619603,1.0
0.6,11.0,3.2607159089154747,3.2607159089154747,1.0
0.6,11.25,3.3309413926700437,3.3309413926700437,1.0
0.6,11.5,3.4009437613054554,3.4009437613054554,1.0
0.6,11.75,3.4706672360419217,3.4706672360419217,1.0
0.6,12.0,3.540167595659231,3.540167595659231,1.0
